Date,USA
2021-03-10,10881.814882173096
2021-03-11,11016.041187063161
2021-03-12,11023.747980489454
2021-03-15,11103.728356459316
2021-03-16,11082.23246769693
2021-03-17,11112.5516474401
2021-03-18,10929.27378726773
2021-03-19,10932.058061578742
2021-03-22,11014.294046638153
2021-03-23,10927.653781004052
2021-03-24,10850.36170279434
2021-03-25,10902.831384976143
2021-03-26,11080.370738695403
2021-03-29,11061.318408280404
2021-03-30,11030.589730602163
2021-03-31,11085.830807542361
2021-04-01,11222.277092717242
2021-04-02,11222.277092717242
2021-04-05,11374.79956376677
2021-04-06,11375.307833982451
2021-04-07,11388.076040889326
2021-04-08,11448.932266440157
2021-04-09,11533.943993214729
2021-04-12,11533.15144573719
2021-04-13,11584.228870022012
2021-04-14,11531.92077818874
2021-04-15,11667.347978546533
2021-04-16,11701.233035847337
2021-04-19,11633.210061934868
2021-04-20,11553.4910017449
2021-04-21,11660.6996327384
2021-04-22,11562.445837333697
2021-04-23,11693.977233154626
2021-04-26,11721.993710567507
2021-04-27,11717.378068929695
2021-04-28,11704.77096676277
2021-04-29,11772.365468925418
2021-04-30,11686.171759119119
2021-05-03,11708.132371676007
2021-05-04,11616.242613858167
2021-05-05,11614.579276517907
2021-05-06,11692.77421163162
2021-05-07,11784.038268858836
2021-05-10,11651.164704128707
2021-05-11,11563.152005434129
2021-05-12,11308.531662781887
2021-05-13,11438.414475525096
2021-05-14,11618.016881085447
2021-05-17,11584.410045657338
2021-05-18,11495.163243828663
2021-05-19,11465.297586485338
2021-05-20,11600.233658788582
2021-05-21,11589.523794453067
2021-05-24,11708.016433558763
2021-05-25,11684.317989779618
2021-05-26,11711.107762321006
2021-05-27,11723.985698431594
2021-05-28,11737.390611972298
2021-05-31,11737.390611972298
2021-06-01,11729.359947112152
2021-06-02,11745.97096811567
2021-06-03,11695.670547667243
2021-06-04,11805.090875445489
2021-06-07,11806.01369474686
2021-06-08,11809.678943846233
2021-06-09,11787.181181017482
2021-06-10,11850.664818312556
2021-06-11,11880.1257287532
2021-06-14,11908.892939585588
2021-06-15,11876.160217742967
2021-06-16,11816.15408444778
2021-06-17,11828.140691758927
2021-06-18,11683.09037379804
2021-06-21,11839.253111072156
2021-06-22,11909.001424557804
2021-06-23,11900.749565150167
2021-06-24,11973.071606674404
2021-06-25,12012.201895901928
2021-06-28,12047.380850773387
2021-06-29,12054.04268075501
2021-06-30,12060.214841601204
2021-07-01,12116.327522092039
2021-07-02,12206.561450793179
2021-07-05,12206.561450793179
2021-07-06,12192.72879631988
2021-07-07,12226.641369835574
2021-07-08,12121.759228138502
2021-07-09,12259.464131381517
2021-07-12,12294.525943707058
2021-07-13,12246.234492736006
2021-07-14,12250.844305358118
2021-07-15,12212.133201607294
2021-07-16,12129.143094215715
2021-07-19,11949.312004338854
2021-07-20,12137.373690690742
2021-07-21,12236.195502583583
2021-07-22,12265.798037393955
2021-07-23,12397.095926808215
2021-07-26,12419.205760723278
2021-07-27,12356.530884360542
2021-07-28,12363.147018325939
2021-07-29,12413.036948168681
2021-07-30,12341.872106988494
2021-08-02,12324.162087978068
2021-08-03,12419.065234482952
2021-08-04,12371.859455804732
2021-08-05,12449.422629075541
2021-08-06,12458.487587523898
2021-08-09,12452.130159399201
2021-08-10,12455.938660784592
2021-08-11,12480.971896733286
2021-08-12,12521.378210458905
2021-08-13,12540.343563513583
2021-08-16,12563.260473481134
2021-08-17,12476.807974480298
2021-08-18,12346.527743674455
2021-08-19,12357.731141018496
2021-08-20,12461.346425012727
2021-08-23,12572.628539739986
2021-08-24,12598.732574732489
2021-08-25,12628.585857233014
2021-08-26,12555.26621515449
2021-08-27,12666.862918738318
2021-08-30,12724.019622901458
2021-08-31,12701.171371054785
2021-09-01,12710.345034455939
2021-09-02,12747.897899543765
2021-09-03,12749.849175000923
2021-09-06,12749.849175000923
2021-09-07,12705.123208378709
2021-09-08,12682.43453267649
2021-09-09,12629.068669203816
2021-09-10,12531.84383594452
2021-09-13,12552.797158290312
2021-09-14,12483.514933238715
2021-09-15,12588.224171757438
2021-09-16,12576.83567537362
2021-09-17,12468.77813903777
2021-09-20,12250.91495714782
2021-09-21,12249.329071454771
2021-09-22,12366.740721504691
2021-09-23,12512.756406163724
2021-09-24,12526.149254724329
2021-09-27,12481.90793305984
2021-09-28,12216.023949525144
2021-09-29,12228.786244531484
2021-09-30,12097.61547927707
2021-10-01,12231.557144999448
2021-10-04,12060.528586096747
2021-10-05,12190.93915714798
2021-10-06,12245.536559588432
2021-10-07,12356.067715685465
2021-10-08,12327.010526443919
2021-10-11,12242.570039450376
2021-10-12,12223.590959167266
2021-10-13,12275.417594659528
2021-10-14,12483.906548825353
2021-10-15,12573.705655693868
2021-10-18,12622.07766476248
2021-10-19,12716.081099389212
2021-10-20,12761.672096661938
2021-10-21,12807.016254124275
2021-10-22,12781.614564109957
2021-10-25,12842.420126438083
2021-10-26,12862.63994519767
2021-10-27,12786.070398406777
2021-10-28,12913.831642290894
2021-10-29,12938.180575864293
2021-11-01,12963.556696453956
2021-11-02,13008.479867490916
2021-11-03,13091.817966897472
2021-11-04,13146.605647195896
2021-11-05,13186.814359657681
2021-11-08,13206.577920856576
2021-11-09,13166.826562509268
2021-11-10,13046.39078862646
2021-11-11,13055.920817968408
2021-11-12,13158.378775000734
2021-11-15,13158.33122592567
2021-11-16,13215.012219011911
2021-11-17,13176.687397397289
2021-11-18,13214.829437151742
2021-11-19,13191.421655105349
2021-11-22,13126.905791128605
2021-11-23,13138.4712977754
2021-11-24,13176.672979677032
2021-11-25,13176.672979677032
2021-11-26,12889.091802178498
2021-11-29,13053.402295566117
2021-11-30,12802.608822179349
2021-12-01,12627.656431107021
2021-12-02,12812.284852794248
2021-12-03,12685.185592904543
2021-12-06,12828.523849842073
2021-12-07,13105.59576041442
2021-12-08,13160.36617204194
2021-12-09,13047.474777022398
2021-12-10,13157.905291237348
2021-12-13,13036.64240222687
2021-12-14,12934.757196979872
2021-12-15,13149.238442882952
2021-12-16,13017.17953551518
2021-12-17,12905.467908061763
2021-12-20,12755.04661299929
2021-12-21,12993.884958530398
2021-12-22,13122.691314190672
2021-12-23,13206.69534508238
2021-12-24,13206.69534508238
2021-12-27,13382.432105253854
2021-12-28,13359.949750821232
2021-12-29,13375.080257813948
2021-12-30,13343.978242952491
2021-12-31,13304.04593467661
2022-01-03,13381.761449421176
2022-01-04,13354.968281189364
2022-01-05,13074.981745102532
2022-01-06,13063.71503323654
2022-01-07,13005.156781115953
2022-01-10,12989.918977256617
2022-01-11,13119.486873615377
2022-01-12,13151.720407167102
2022-01-13,12947.587282488521
2022-01-14,12955.485731100203
2022-01-17,12955.485731100203
2022-01-18,12710.319848113602
2022-01-19,12587.993066516628
2022-01-20,12451.54799764104
2022-01-21,12206.963375431893
2022-01-24,12248.001602393111
2022-01-25,12083.601502276644
2022-01-26,12055.649031888557
2022-01-27,11986.725199343491
2022-01-28,12290.139290367371
2022-01-31,12547.635632219308
2022-02-01,12639.738292626766
2022-02-02,12740.306061608006
2022-02-03,12417.62132612077
2022-02-04,12503.742711278568
2022-02-07,12460.530662583209
2022-02-08,12565.796166254515
2022-02-09,12761.419629669705
2022-02-10,12534.856027016262
2022-02-11,12289.514385560156
2022-02-14,12245.45995853162
2022-02-15,12450.253287350173
2022-02-16,12454.312049120681
2022-02-17,12178.95084048309
2022-02-18,12081.860666747489
2022-02-21,12081.860666747489
2022-02-22,11954.13876830113
2022-02-23,11727.478314852086
2022-02-24,11925.991853724412
2022-02-25,12193.739049535348
2022-02-28,12174.86007011233
2022-03-01,11988.898972982224
2022-03-02,12208.977066514086
2022-03-03,12123.52486644993
2022-03-04,12016.365970615481
2022-03-07,11649.474406639787
2022-03-08,11569.521905280935
2022-03-09,11879.425999134433
2022-03-10,11823.54706362743
2022-03-11,11657.99450870129
2022-03-14,11556.895907504466
2022-03-15,11806.660063263287
2022-03-16,12089.345609254997
2022-03-17,12249.321261777846
2022-03-18,12406.485212313111
2022-03-21,12393.114962448708
2022-03-22,12543.768923902018
2022-03-23,12390.355254866156
2022-03-24,12570.787905006559
2022-03-25,12620.392444613097
2022-03-28,12718.60028626651
2022-03-29,12889.082260595567
2022-03-30,12798.092202632104
2022-03-31,12598.063965228837
2022-04-01,12645.579626669862
