Date,JAPAN
2013-08-02,4760.351677189129
2013-08-05,4719.004442834296
2013-08-06,4801.091066496598
2013-08-07,4691.276637554591
2013-08-08,4660.548790400458
2013-08-09,4650.000080921344
2013-08-12,4610.37139103479
2013-08-13,4623.12681809714
2013-08-14,4687.600175975665
2013-08-15,4619.8053809465955
2013-08-16,4593.367487290427
2013-08-19,4600.39716488622
2013-08-20,4538.038674103576
2013-08-21,4496.010920216647
2013-08-22,4441.016940956244
2013-08-23,4539.916609701032
2013-08-26,4529.583677476573
2013-08-27,4568.077206039828
2013-08-28,4466.3423821823635
2013-08-29,4443.962530797607
2013-08-30,4419.820721051864
2013-09-02,4408.776607824019
2013-09-03,4517.204769306494
2013-09-04,4556.443167062894
2013-09-05,4543.5032850219095
2013-09-06,4553.856345329647
2013-09-09,4618.6205867326025
2013-09-10,4645.196395434398
2013-09-11,4664.671073983306
2013-09-12,4683.332893428521
2013-09-13,4672.087783106251
2013-09-16,4697.862536034613
2013-09-17,4653.01820081714
2013-09-18,4722.630512338778
2013-09-19,4783.5624790924385
2013-09-20,4789.670118784692
2013-09-23,4834.803035451897
2013-09-24,4816.285184607286
2013-09-25,4807.305555089536
2013-09-26,4860.186250312952
2013-09-27,4882.03951218894
2013-09-30,4789.017187586294
2013-10-01,4787.80747414344
2013-10-02,4754.096601262716
2013-10-03,4753.970311170944
2013-10-04,4719.58933474416
2013-10-07,4659.430956173694
2013-10-08,4669.699759519176
2013-10-09,4725.182795256161
2013-10-10,4728.424336518005
2013-10-11,4791.555058364575
2013-10-14,4800.8339195080225
2013-10-15,4780.372085948455
2013-10-16,4766.252916575446
2013-10-17,4857.250019591495
2013-10-18,4853.064199670586
2013-10-21,4860.827442722862
2013-10-22,4868.34778070914
2013-10-23,4837.585816092424
2013-10-24,4859.35432091637
2013-10-25,4755.979162118218
2013-10-28,4821.991108124118
2013-10-29,4783.6910552766785
2013-10-30,4828.153278698704
2013-10-31,4788.969755967848
2013-11-01,4715.4600638884185
2013-11-04,4723.828863758409
2013-11-05,4723.940076384549
2013-11-06,4755.407282983782
2013-11-07,4706.701283067646
2013-11-08,4670.846612874876
2013-11-11,4703.882269154647
2013-11-12,4768.342258109723
2013-11-13,4769.607110893747
2013-11-14,4803.220600581545
2013-11-15,4870.974969813677
2013-11-18,4894.2525420041775
2013-11-19,4865.533499105676
2013-11-20,4864.3353778930705
2013-11-21,4862.147359506098
2013-11-22,4866.762060120397
2013-11-25,4889.764732314308
2013-11-26,4875.641589104297
2013-11-27,4822.448481127849
2013-11-28,4875.996806083475
2013-11-29,4860.1901531509175
2013-12-02,4828.610256492991
2013-12-03,4870.230024232054
2013-12-04,4773.804088120913
2013-12-05,4756.997221707
2013-12-06,4751.252727602001
2013-12-09,4809.787850206835
2013-12-10,4824.0058134466735
2013-12-11,4820.291664824793
2013-12-12,4759.085119139965
2013-12-13,4742.64254954508
2013-12-16,4686.061759783604
2013-12-17,4734.134726819492
2013-12-18,4787.985466455108
2013-12-19,4794.202749874829
2013-12-20,4795.958698672768
2013-12-23,4800.570419138821
2013-12-24,4774.901226626264
2013-12-25,4776.800341363594
2013-12-26,4838.383429751941
2013-12-27,4860.504729904277
2013-12-30,4902.13114279811
2013-12-31,4898.866320192184
2014-01-01,4898.866320192184
2014-01-02,4902.5979012977805
2014-01-03,4928.407222625503
2014-01-06,4880.373482375187
2014-01-07,4840.2341959239275
2014-01-08,4916.772316130261
2014-01-09,4882.449221414101
2014-01-10,4917.393425923301
2014-01-13,4954.500443503915
2014-01-14,4828.237629974555
2014-01-15,4885.469432073514
2014-01-16,4896.237633068592
2014-01-17,4899.589612290374
2014-01-20,4894.229763480778
2014-01-21,4893.247534805597
2014-01-22,4910.022428234911
2014-01-23,4894.1971214761
2014-01-24,4865.830584165906
2014-01-27,4728.6776757023745
2014-01-28,4692.7816727412555
2014-01-29,4836.914712068158
2014-01-30,4691.2191799338225
2014-01-31,4709.862796272064
2014-02-03,4652.189354028347
2014-02-04,4432.217799898276
2014-02-05,4534.948483842813
2014-02-06,4496.9011530309745
2014-02-07,4585.656640799311
2014-02-10,4653.048517859478
2014-02-11,4636.91419256313
2014-02-12,4688.237631172665
2014-02-13,4626.263416493279
2014-02-14,4579.702359975655
2014-02-17,4606.505214187317
2014-02-18,4715.002615472185
2014-02-19,4701.151718561819
2014-02-20,4604.796855498649
2014-02-21,4694.421664580863
2014-02-24,4690.819110402696
2014-02-25,4759.977575737591
2014-02-26,4727.553848389543
2014-02-27,4706.466540049283
2014-02-28,4684.5981168011485
2014-03-03,4654.9912486835
2014-03-04,4648.97599800219
2014-03-05,4673.534225366513
2014-03-06,4700.824016416489
2014-03-07,4722.0351812191675
2014-03-10,4686.7449259140385
2014-03-11,4709.674854408276
2014-03-12,4627.849138232107
2014-03-13,4639.992428304789
2014-03-14,4518.342777118331
2014-03-17,4479.410143780406
2014-03-18,4525.733872545643
2014-03-19,4513.132315838001
2014-03-20,4406.035966745548
2014-03-21,4406.681508252689
2014-03-24,4470.244642569047
2014-03-25,4469.030756402706
2014-03-26,4503.4705672998125
2014-03-27,4564.667026287663
2014-03-28,4562.45652158731
2014-03-31,4624.272925839387
2014-04-01,4601.553879335029
2014-04-02,4626.441082121257
2014-04-03,4641.724726962408
2014-04-04,4652.441174549952
2014-04-07,4599.955713975863
2014-04-08,4559.060940800494
2014-04-09,4477.465703432501
2014-04-10,4487.155144346426
2014-04-11,4420.378212717583
2014-04-14,4407.679481902268
2014-04-15,4427.805546765431
2014-04-16,4519.644247712659
2014-04-17,4518.9334959440175
2014-04-18,4545.707625079211
2014-04-21,4524.8499065038095
2014-04-22,4492.448180136481
2014-04-23,4545.280359077913
2014-04-24,4511.0677500626125
2014-04-25,4537.596599214712
2014-04-28,4476.106725118077
2014-04-29,4477.852646805104
2014-04-30,4504.87483204894
2014-05-01,4574.520364472795
2014-05-02,4577.857691365898
2014-05-05,4583.685645142303
2014-05-06,4608.96124911335
2014-05-07,4485.667378996158
2014-05-08,4523.557817252264
2014-05-09,4540.491166899685
2014-05-12,4497.575646661955
2014-05-13,4576.764423000446
2014-05-14,4612.366884810545
2014-05-15,4602.987886651871
2014-05-16,4535.391052642604
2014-05-19,4513.5215260912955
2014-05-20,4518.460117866303
2014-05-21,4496.949699675497
2014-05-22,4565.2112920551945
2014-05-23,4602.320295403741
2014-05-26,4652.430217791819
2014-05-27,4646.96982521105
2014-05-28,4672.225699430613
2014-05-29,4691.727237377722
2014-05-30,4687.0440270109
2014-06-02,4739.458966951874
2014-06-03,4759.981626935401
2014-06-04,4772.3829128001935
2014-06-05,4774.080282384067
2014-06-06,4775.436558031619
2014-06-09,4776.117253713096
2014-06-10,4759.3812050991755
2014-06-11,4821.265309074851
2014-06-12,4820.681904992751
2014-06-13,4830.692197275859
2014-06-16,4802.713478501818
2014-06-17,4799.949316307835
2014-06-18,4844.268724338799
2014-06-19,4941.303044042145
2014-06-20,4927.087838869055
2014-06-23,4929.5701254466585
2014-06-24,4917.703198038271
2014-06-25,4904.874034983782
2014-06-26,4930.505734395055
2014-06-27,4899.282731739505
2014-06-30,4932.140289593974
2014-07-01,4976.654425684788
2014-07-02,4984.663425828337
2014-07-03,4953.785889714223
2014-07-04,4984.079059440654
2014-07-07,4974.249224012561
2014-07-08,4967.782034983244
2014-07-09,4944.974860473345
2014-07-10,4920.379079450698
2014-07-11,4901.96560733776
2014-07-14,4928.7274738340075
2014-07-15,4956.732053674503
2014-07-16,4959.054653226745
2014-07-17,4963.090481961297
2014-07-18,4931.702684826899
2014-07-21,4935.109733313825
2014-07-22,4960.615151765383
2014-07-23,4955.3267045685525
2014-07-24,4932.169238754684
2014-07-25,4974.738713488216
2014-07-28,4995.245207368771
2014-07-29,4992.831002562411
2014-07-30,4971.383207543745
2014-07-31,4960.696277485988
2014-08-01,4949.167760281351
2014-08-04,4927.855215133969
2014-08-05,4862.02201863311
2014-08-06,4837.301536567359
2014-08-07,4868.378486988427
2014-08-08,4765.183410947214
2014-08-11,4844.694333672509
2014-08-12,4862.475274016296
2014-08-13,4870.649158714884
