Date,CZECHREPUBLIC
2021-01-08,802.9702895213853
2021-01-11,794.7235321078529
2021-01-12,801.2169321293214
2021-01-13,799.0382561225335
2021-01-14,798.1349541691238
2021-01-15,787.4019962930213
2021-01-18,788.7045542329465
2021-01-19,789.1797455881868
2021-01-20,787.7493736691835
2021-01-21,772.107779666758
2021-01-22,766.3686437167672
2021-01-25,788.8176381933494
2021-01-26,789.4821582388877
2021-01-27,771.7124070821351
2021-01-28,770.3820834275535
2021-01-29,767.7482302484592
2021-02-01,771.6235617524353
2021-02-02,776.5677044305668
2021-02-03,777.4491909640421
2021-02-04,779.3675349024076
2021-02-05,799.1634951943727
2021-02-08,799.1828741228534
2021-02-09,801.7804784253462
2021-02-10,801.4363644230251
2021-02-11,797.8455871879347
2021-02-12,804.7403012306232
2021-02-15,813.9615812623838
2021-02-16,808.6955098178992
2021-02-17,792.6292385772526
2021-02-18,791.6140630197203
2021-02-19,791.0192539193202
2021-02-22,783.8592208741403
2021-02-23,789.1715018172762
2021-02-24,785.2297851658569
2021-02-25,797.2922133230619
2021-02-26,792.472062797341
2021-03-01,789.0974197245587
2021-03-02,788.4564935143186
2021-03-03,781.8536603506267
2021-03-04,777.832234134099
2021-03-05,768.2294827217858
2021-03-08,765.882885512624
2021-03-09,774.9988928214793
2021-03-10,779.5757021951832
2021-03-11,793.5742695589573
2021-03-12,790.7020258331821
2021-03-15,788.8322511138223
2021-03-16,786.4171131516558
2021-03-17,788.651385643803
2021-03-18,800.0905609634766
2021-03-19,792.1335006127788
2021-03-22,793.2792393194014
2021-03-23,789.2752666267018
2021-03-24,781.965906324441
2021-03-25,782.350579213488
2021-03-26,795.5604053087171
2021-03-29,794.690620226179
2021-03-30,797.051189462003
2021-03-31,795.2783771598748
2021-04-01,795.2580072211439
2021-04-02,795.2580072211445
2021-04-05,800.0356092975925
2021-04-06,797.4020405214185
2021-04-07,810.3770991008078
2021-04-08,811.7718569438866
2021-04-09,808.6369842576279
2021-04-12,815.0484059074232
2021-04-13,829.1784254708291
2021-04-14,825.7240762042253
2021-04-15,828.5154858579559
2021-04-16,840.919738937256
2021-04-19,843.4861883667282
2021-04-20,837.1091232928687
2021-04-21,839.7640995676587
2021-04-22,839.4726968877017
2021-04-23,833.0708139035063
2021-04-26,835.9713055270389
2021-04-27,835.292950551517
2021-04-28,845.8072530050816
2021-04-29,847.1609550124616
2021-04-30,840.8890546298406
2021-05-03,848.7206425112721
2021-05-04,838.2718830115977
2021-05-05,840.4037652849304
2021-05-06,838.9315388179942
2021-05-07,861.9598886716012
2021-05-10,869.7497459493654
2021-05-11,866.8890894192566
2021-05-12,861.3717977180308
2021-05-13,865.0443555586633
2021-05-14,874.672947983964
2021-05-17,882.3058238577149
2021-05-18,902.317906063613
2021-05-19,894.419836809922
2021-05-20,904.5049396755066
2021-05-21,915.2538640564367
2021-05-24,923.2823342522555
2021-05-25,935.1496042958865
2021-05-26,929.1770954209693
2021-05-27,925.2075765205961
2021-05-28,923.9231374171169
2021-05-31,930.3422490313894
2021-06-01,947.4296205091076
2021-06-02,942.6900653992939
2021-06-03,937.6529299226087
2021-06-04,947.870448829169
2021-06-07,944.9116814629532
2021-06-08,944.302133574483
2021-06-09,950.7963450328896
2021-06-10,948.9823641100942
2021-06-11,942.2361443531848
2021-06-14,940.218047243265
2021-06-15,935.6052345789408
2021-06-16,925.686043522621
2021-06-17,910.472296017411
2021-06-18,904.2942338066104
2021-06-21,911.3504705131986
2021-06-22,911.1500152817935
2021-06-23,918.182661344161
2021-06-24,913.9601994345331
2021-06-25,913.1866397043268
2021-06-28,913.737515375632
2021-06-29,912.8266721884141
2021-06-30,911.0573597067049
2021-07-01,903.8717347729641
2021-07-02,910.9357401040903
2021-07-05,912.6452607862407
2021-07-06,907.6300554155937
2021-07-07,904.5182180073945
2021-07-08,901.5830508239615
2021-07-09,911.4490561949501
2021-07-12,915.8001013312714
2021-07-13,911.6661516322833
2021-07-14,916.145388107576
2021-07-15,914.8892220440065
2021-07-16,913.93047124127
2021-07-19,885.9039861320358
2021-07-20,896.7505143170229
2021-07-21,901.879971051832
2021-07-22,909.5631861925294
2021-07-23,902.6876899605271
