Date,UK
2001-12-25,2732.8497519842435
2001-12-26,2748.79802064943
2001-12-27,2777.8716939030273
2001-12-28,2784.6086116312804
2001-12-31,2786.916454434232
2002-01-01,2786.916454434232
2002-01-02,2768.599133943645
2002-01-03,2814.07202408968
2002-01-04,2817.0146521568527
2002-01-07,2792.433833292315
2002-01-08,2774.3619205484347
2002-01-09,2754.888705131001
2002-01-10,2744.233325460129
2002-01-11,2745.2297003125386
2002-01-14,2712.8833567745933
2002-01-15,2730.570537387473
2002-01-16,2697.502510693267
2002-01-17,2699.682626149096
2002-01-18,2692.140051072238
2002-01-21,2697.8803938236974
2002-01-22,2687.3372284382613
2002-01-23,2698.0023160370442
2002-01-24,2720.5115008472185
2002-01-25,2675.6997585391227
2002-01-28,2688.3798152595673
2002-01-29,2645.737246138647
2002-01-30,2629.3703326437685
2002-01-31,2669.432916821396
2002-02-01,2680.3373837354234
2002-02-04,2674.0563024138805
2002-02-05,2638.420742715287
2002-02-06,2619.3331232671394
2002-02-07,2644.7746493374325
2002-02-08,2657.6766342177934
2002-02-11,2682.819520105187
2002-02-12,2684.196944180124
2002-02-13,2696.1756463934885
2002-02-14,2718.726535257895
2002-02-15,2715.369139858634
2002-02-18,2692.9310020190314
2002-02-19,2663.0522922961227
2002-02-20,2630.443366840707
2002-02-21,2650.0052408541073
2002-02-22,2646.125694864574
2002-02-25,2669.34607591527
2002-02-26,2686.1788367491963
2002-02-27,2696.590455539818
2002-02-28,2656.555478247528
2002-03-01,2700.6663318909186
2002-03-04,2744.917898271099
2002-03-05,2729.9085641457505
2002-03-06,2749.1256377636805
2002-03-07,2775.79170547954
2002-03-08,2774.106778320112
2002-03-11,2757.9243625211593
2002-03-12,2732.3439960205815
2002-03-13,2752.8001081008424
2002-03-14,2762.0015695527077
2002-03-15,2784.9243621006067
2002-03-18,2788.1266566621775
2002-03-19,2795.870444903619
2002-03-20,2778.1215807076283
2002-03-21,2773.6605461731456
2002-03-22,2772.204608261606
2002-03-25,2745.4649345082166
2002-03-26,2743.9808833168427
2002-03-27,2745.313145072688
2002-03-28,2779.49447371578
2002-03-29,2779.49447371578
2002-04-01,2807.6017212027923
2002-04-02,2799.073857516308
2002-04-03,2788.6947799616364
2002-04-04,2768.7556450928237
2002-04-05,2778.2050890349965
2002-04-08,2743.303197338434
2002-04-09,2741.864916518095
2002-04-10,2776.6915662643632
2002-04-11,2735.042857881581
2002-04-12,2744.717273200455
2002-04-15,2768.3130060518174
2002-04-16,2800.049608234229
2002-04-17,2811.774318799013
2002-04-18,2801.632188002051
2002-04-19,2809.4855773388076
2002-04-22,2802.646032315934
2002-04-23,2784.744976470786
2002-04-24,2801.557483345681
2002-04-25,2803.676595362885
2002-04-26,2781.628076986207
2002-04-29,2783.1909180214934
2002-04-30,2788.359474806035
2002-05-01,2775.042905694785
2002-05-02,2801.6695901052203
2002-05-03,2821.186918123956
2002-05-06,2819.649591283481
2002-05-07,2766.765663917605
2002-05-08,2808.032289649748
2002-05-09,2799.7938702263054
2002-05-10,2789.911319790087
2002-05-13,2803.6700946953456
2002-05-14,2797.8425012892094
2002-05-15,2827.826304451751
2002-05-16,2822.107455289471
2002-05-17,2819.1768051925824
2002-05-20,2809.6593210823603
2002-05-21,2797.513418551785
2002-05-22,2776.586581877949
2002-05-23,2775.8388932249136
2002-05-24,2779.4706435585476
2002-05-27,2758.9760215236015
2002-05-28,2734.8646510592334
2002-05-29,2737.5928269768933
2002-05-30,2722.786167224827
2002-05-31,2742.7716246429404
2002-06-03,2739.866046938537
2002-06-04,2742.9590812690285
2002-06-05,2679.388052030276
2002-06-06,2669.398011899006
2002-06-07,2653.813754990015
2002-06-10,2661.350288656452
2002-06-11,2674.237258022738
2002-06-12,2639.5826506580634
2002-06-13,2600.7989612117326
2002-06-14,2531.558741709407
2002-06-17,2601.385738136464
2002-06-18,2589.1023641696647
2002-06-19,2565.319738195983
2002-06-20,2541.7353941481656
2002-06-21,2555.998895199862
2002-06-24,2528.960022691823
2002-06-25,2571.5171253790313
2002-06-26,2561.3044984919657
2002-06-27,2562.5215516532144
2002-06-28,2626.933244875882
2002-07-01,2651.205888150429
2002-07-02,2575.063618823048
2002-07-03,2479.077785993445
2002-07-04,2519.436474817667
2002-07-05,2592.322160533204
2002-07-08,2607.939191289362
2002-07-09,2593.2808199574056
2002-07-10,2519.5803673060905
2002-07-11,2416.526589301384
2002-07-12,2415.4093232201035
