Date,GERMANY
2014-05-20,5579.614582009816
2014-05-21,5599.746558495895
2014-05-22,5609.675083830874
2014-05-23,5626.302284238119
2014-05-26,5704.638672230106
2014-05-27,5715.481487861514
2014-05-28,5703.518853414079
2014-05-29,5711.531250996019
2014-05-30,5725.470412909246
2014-06-02,5714.792504889283
2014-06-03,5700.694217620835
2014-06-04,5703.502261533081
2014-06-05,5715.256089241017
2014-06-06,5752.15966077641
2014-06-09,5745.073928018511
2014-06-10,5735.404459178958
2014-06-11,5691.21191909271
2014-06-12,5695.721159686767
2014-06-13,5669.721090863031
2014-06-16,5670.236777448335
2014-06-17,5680.332658643079
2014-06-18,5697.810117849762
2014-06-19,5763.419053554226
2014-06-20,5730.872292269379
2014-06-23,5700.756684398378
2014-06-24,5710.00469289167
2014-06-25,5681.9339423888705
2014-06-26,5629.285566983006
2014-06-27,5657.76263625442
2014-06-30,5687.738927998244
2014-07-01,5721.808290586797
2014-07-02,5718.982542916099
2014-07-03,5765.795189577626
2014-07-04,5743.520626548925
2014-07-07,5686.834666602252
2014-07-08,5617.554143688045
2014-07-09,5646.338285009155
2014-07-10,5549.3536017429215
2014-07-11,5553.671201597296
2014-07-14,5632.104443460238
2014-07-15,5573.107395183196
2014-07-16,5637.917861973099
2014-07-17,5574.713854973002
2014-07-18,5553.993498425219
2014-07-21,5498.335815956489
2014-07-22,5541.414571263944
2014-07-23,5550.837366539885
2014-07-24,5577.574783945637
2014-07-25,5480.329336932869
2014-07-28,5454.575290981235
2014-07-29,5472.1770199996145
2014-07-30,5424.257110517683
2014-07-31,5321.464000788006
2014-08-01,5234.642160614365
2014-08-04,5200.294474893809
2014-08-05,5198.630464950913
2014-08-06,5158.4013207634425
2014-08-07,5108.395579856398
2014-08-08,5116.938863906245
2014-08-11,5202.923661621696
2014-08-12,5130.381088674543
2014-08-13,5208.047361945759
2014-08-14,5224.156053812906
2014-08-15,5154.612067786892
2014-08-18,5230.129697017787
2014-08-19,5261.617141998026
2014-08-20,5237.548898639846
2014-08-21,5283.434463764131
2014-08-22,5230.444683496212
2014-08-25,5307.621570049688
2014-08-26,5350.578014310167
2014-08-27,5341.369454680495
2014-08-28,5271.826910319202
2014-08-29,5273.828070857946
2014-09-01,5263.627291443106
2014-09-02,5273.185981072163
2014-09-03,5343.151733841046
2014-09-04,5325.727802496887
2014-09-05,5333.465915716668
2014-09-08,5334.94434675391
2014-09-09,5296.031237705314
2014-09-10,5289.012647757307
2014-09-11,5293.757342083453
2014-09-12,5274.180594301619
2014-09-15,5276.5317645264595
2014-09-16,5261.317077605225
2014-09-17,5284.912992612723
2014-09-18,5339.759053406338
2014-09-19,5309.217722841976
2014-09-22,5275.954363346642
2014-09-23,5209.983581495719
2014-09-24,5216.072012462189
2014-09-25,5117.163303865264
2014-09-26,5086.90848031956
2014-09-29,5049.246653117902
2014-09-30,5052.589009264022
2014-10-01,4989.669177922439
2014-10-02,4916.371134815118
2014-10-03,4861.198676511585
2014-10-06,4893.502525235718
2014-10-07,4853.659253528633
2014-10-08,4828.283782108381
2014-10-09,4841.874615926671
2014-10-10,4696.579689168702
2014-10-13,4727.254813812457
2014-10-14,4728.752078692167
2014-10-15,4630.8695600976425
2014-10-16,4643.630603812631
2014-10-17,4785.471670611513
2014-10-20,4720.46613462543
2014-10-21,4792.45970091887
2014-10-22,4800.692113533031
2014-10-23,4847.218654317218
2014-10-24,4823.672631511647
2014-10-27,4795.124604927333
2014-10-28,4893.837849096814
2014-10-29,4909.498730846364
2014-10-30,4877.859489518085
2014-10-31,4950.328647930198
2014-11-03,4896.76063638573
2014-11-04,4885.108941700809
2014-11-05,4930.307855077439
2014-11-06,4940.558520399559
2014-11-07,4887.790901645115
2014-11-10,4930.88882788618
2014-11-11,4933.589594793105
2014-11-12,4873.855667307096
2014-11-13,4892.159361822274
2014-11-14,4896.840201493263
2014-11-17,4915.046369054694
2014-11-18,5022.588663863334
2014-11-19,5036.1129243047635
2014-11-20,5041.562746458365
2014-11-21,5116.854880166548
